id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1973,1,57,2019-05-27,0.48,8,349
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3832,1,0,,,2,363
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1897,1,45,2020-02-17,0.45,10,353
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43937,-99.15614,Entire home/apt,709,4,60,2019-07-24,2.16,2,0
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,1150,2,52,2019-11-03,1.84,2,180
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1054,3,101,2020-02-19,1.03,3,353
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3832,1,0,,,2,88
98378,Spacious centric 6BR; last-minute-stays deals,519159,Jorge & Monnah,,Miguel Hidalgo,19.4019,-99.18076,Entire home/apt,4579,3,160,2020-02-18,1.60,12,342
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2759,1,0,,,8,320
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4119,4,10,2019-10-05,0.22,2,309
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1571,1,0,,,3,0
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1054,2,266,2020-01-21,2.54,4,258
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,287,4,69,2020-02-15,0.95,2,358
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.4239,-99.1689,Entire home/apt,1035,3,35,2019-11-18,0.37,1,309
187030,Colorful and spacious Apt. Family favorite,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1111,3,97,2019-09-29,0.96,6,0
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1820,2,24,2018-01-03,0.31,6,3
194937,Sunny and fresh Retro style Apartment,899360,Julian,,Cuauhtémoc,19.41057,-99.1773,Entire home/apt,1150,1,64,2019-10-29,0.64,6,0
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,920,2,166,2020-01-16,1.61,2,260
204887,"Condesa-Roma, great place to stay!",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,805,3,25,2019-11-26,0.27,1,303
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,651,7,6,2020-01-11,0.10,1,216
245507,TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,1245,1,264,2020-02-06,2.59,17,335
246057,HIP APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.42373,-99.1714,Entire home/apt,1437,1,245,2020-02-01,2.42,17,357
