id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1930,1,57,2019-05-27,0.49,8,343
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3748,1,0,,,2,364
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41006,-99.17645,Private room,1893,1,43,2019-11-19,0.43,10,358
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43937,-99.15614,Entire home/apt,693,4,60,2019-07-24,2.26,2,0
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,1124,2,52,2019-11-03,1.91,2,180
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1031,3,100,2020-01-08,1.03,3,346
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3748,1,0,,,2,88
98378,Spacious 6BR Deluxe Home; 17p; centric location,519159,Jorge & Monnah,,Miguel Hidalgo,19.4019,-99.18076,Entire home/apt,4479,3,158,2020-01-09,1.59,12,169
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2699,1,0,,,8,328
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4029,4,10,2019-10-05,0.22,2,288
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1537,1,0,,,3,0
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1031,2,265,2019-11-11,2.56,4,265
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,281,4,68,2020-01-10,0.95,2,347
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1012,2,35,2019-11-18,0.37,1,282
187030,Colorful and spacious Apt. Family favorite,899360,Julian,,Cuauhtémoc,19.41033,-99.17647,Entire home/apt,1087,3,97,2019-09-29,0.97,6,0
187745,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,Cuauhtémoc,19.41086,-99.17704,Entire home/apt,1780,2,24,2018-01-03,0.32,6,3
194937,Sunny and fresh Retro style Apartment,899360,Julian,,Cuauhtémoc,19.41113,-99.17762,Entire home/apt,1124,1,64,2019-10-29,0.65,6,0
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,900,2,165,2020-01-13,1.62,2,329
204887,"Condesa-Roma, great place to stay!",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,806,3,25,2019-11-26,0.27,1,300
217685,"Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,656,7,6,2020-01-11,0.10,1,187
245507,TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,1218,1,260,2019-11-28,2.58,17,353
246057,HIP APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,Rodolfo & Francisco,,Cuauhtémoc,19.42373,-99.1714,Entire home/apt,1406,1,243,2020-01-05,2.43,17,362
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43417,-99.13744,Private room,562,3,79,2019-02-25,0.80,3,106
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41328,-99.15513,Private room,319,5,16,2017-09-30,0.16,3,1
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt,1031,2,257,2020-01-10,2.60,4,265
261897,Charming 1BR flat in Roma/Condesa,1373924,Eric,,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,1162,2,346,2019-12-25,3.52,1,44
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1668,5,13,2018-02-01,0.13,1,328
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38258,-99.12736,Entire home/apt,1874,7,0,,,1,365
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41125,-99.17634,Hotel room,3242,1,7,2019-10-05,0.11,10,350
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41247,-99.17485,Entire home/apt,937,1,284,2020-01-02,3.61,10,292
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36294,-99.15415,Private room,562,2,0,,,1,365
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1780,3,120,2019-11-03,1.27,1,267
312773,Perfect parkfront apt full of light,1608293,Mariel,,Benito Juárez,19.40042,-99.14807,Entire home/apt,1312,3,35,2015-07-14,0.37,1,27
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.4157,-99.17747,Entire home/apt,900,2,176,2019-07-20,1.85,2,301
324769,2Room new apartment in modern complex,1661848,David,,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt,562,2,35,2019-07-28,0.43,1,363
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43453,-99.14675,Private room,637,3,104,2019-11-19,1.44,1,365
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo,,Coyoacán,19.34004,-99.18273,Private room,375,2,186,2020-01-21,2.21,2,231
326475,Contemporary chic @ Roma Norte- Top location,1670032,Isabel,,Cuauhtémoc,19.41297,-99.15735,Entire home/apt,787,2,89,2020-01-01,1.54,2,0
326865,"Tlalpan, Zona de Hospitales",1671446,Eugenia,,Tlalpan,19.28581,-99.16064,Private room,262,3,30,2019-11-30,0.52,4,364
326885,2 rooms in shared area.,1671446,Eugenia,,Tlalpan,19.28712,-99.16213,Private room,262,3,20,2019-10-25,0.24,4,337
329532,Stay at a meditation center,1681966,Ra Fa El -- Nahui Cuauhtli,,Cuauhtémoc,19.41007,-99.13434,Private room,375,22,0,,,3,358
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.27428,-99.1781,Private room,375,2,15,2019-05-31,0.50,5,297
331030,Rento recámara en planta baja  en Coyoacán centro,1688597,Emma,,Coyoacán,19.34593,-99.1595,Private room,806,1,0,,,1,364
331788,"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,,Cuauhtémoc,19.41942,-99.17373,Entire home/apt,1443,3,329,2020-01-20,3.43,1,293
341479,"modern,styled appt!",1732353,Karen,,Benito Juárez,19.37923,-99.18833,Entire home/apt,525,1,0,,,1,0
347754,Great Place to stay,1762542,Rosario,,Coyoacán,19.35179,-99.14956,Private room,750,1,0,,,1,365
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40421,-99.16553,Private room,1031,5,0,,,1,365
357324,Recámara luminosa y jardín,1808252,Sara,,Miguel Hidalgo,19.40215,-99.24135,Private room,1874,1,0,,,1,365
362583,Modern 2 Bedroom Apt. Near Reforma,1832239,Maria  & Jennifer,,Cuauhtémoc,19.42947,-99.17083,Entire home/apt,1274,2,18,2020-01-03,0.21,1,297
370092,Condesa Roma WTC Studio Parking,618769,Ricardo,,Cuauhtémoc,19.40179,-99.17009,Entire home/apt,637,1,283,2020-01-05,2.98,3,330
375032,DISTRITO CONDESA B&B  relax enjoy,1886913,Distrito Condesa,,Cuauhtémoc,19.40746,-99.17482,Private room,1349,1,44,2019-11-17,0.47,10,360
382712,SALUDOS MI NOMBRE ES FERNANDO,1918084,Fernando,,Azcapotzalco,19.45803,-99.17289,Private room,693,1,0,,,1,365
382904,Cute Sofa Bed in South Mexico City,1915348,Lucrecia,,Benito Juárez,19.36905,-99.18303,Shared room,937,1,0,,,1,365
386265,"Room in colonial, green, enjoyable COYOACAN",1933252,Esther,,Coyoacán,19.34303,-99.15425,Private room,244,3,9,2020-01-21,0.13,2,320
394589,"1 BDR ap in Ciudad de México "" STUDIO YEE "" - 1",931849,Carlos,,Cuauhtémoc,19.42499,-99.17479,Private room,337,28,22,2019-10-15,0.54,3,321
395446,Colorfull  Mid-Century inspired apartment.,899360,Julian,,Cuauhtémoc,19.40974,-99.17811,Entire home/apt,1930,3,12,2016-10-20,0.14,6,1
397408,wonderfully located apartment,1964369,Ana,,Miguel Hidalgo,19.43858,-99.21286,Entire home/apt,900,2,157,2020-01-20,1.69,1,348
400047,Incredible apartment in Condesa,1905087,Constanza,,Cuauhtémoc,19.41489,-99.169,Entire home/apt,1406,1,8,2019-02-26,0.15,3,0
400048,Wonderful stay in la Condesa Mexico,1905087,Constanza,,Cuauhtémoc,19.4058,-99.1756,Private room,937,1,0,,,3,365
421607,Your Mexican home,1222626,Eder,,Benito Juárez,19.40314,-99.15164,Private room,300,5,16,2015-06-03,0.18,5,365
422159,"Nice Studio, 50 mts of terrace.",2099653,Antonio,,Benito Juárez,19.38942,-99.1358,Private room,412,3,8,2019-11-03,0.33,5,328
433876,Comfy & Spacious Room in Mexico City,2142017,Itzel & Maribel,,Iztapalapa,19.35654,-99.0803,Private room,262,2,39,2019-11-30,0.42,1,341
454077,Explore the City's Historic Center,2256144,Fernanda,,Cuauhtémoc,19.42577,-99.13721,Private room,469,1,2,2017-09-16,0.03,1,365
454693,"Condesa, ideal location apartment",1601561,Sylvia Eugenia,,Cuauhtémoc,19.40618,-99.17342,Entire home/apt,1124,1,216,2020-01-01,2.36,1,312
456242,Nice and cozy room with terrace!!!!,1767559,Anna,,La Magdalena Contreras,19.33021,-99.21677,Private room,750,3,2,2015-07-08,0.03,2,333
456409,habitación privada cerca de polanco,2269083,Alondra,,Miguel Hidalgo,19.44338,-99.18841,Private room,187,2,44,2017-03-20,0.48,5,301
456461,Lit room with balcony new Polanco,2269083,Alondra,,Miguel Hidalgo,19.44496,-99.18658,Shared room,319,2,61,2016-01-08,0.66,5,113
457700,Studio Chapultepec Mexico City,2275010,Mariana,,Miguel Hidalgo,19.41471,-99.18563,Private room,937,3,4,2018-12-14,0.17,1,362
458808,Departamento de 1 dormitorio,2281290,Suites,,Cuauhtémoc,19.42741,-99.16022,Entire home/apt,750,7,8,2020-01-06,0.16,29,365
480752,Great views and spacious apartment in Condesa,1921943,Jeppe,,Cuauhtémoc,19.41766,-99.1764,Entire home/apt,1649,2,177,2020-01-20,2.06,1,139
486913,Estudio céntrico en San Rafael/5 calles de Reforma,2409917,Darío,,Cuauhtémoc,19.438,-99.162,Entire home/apt,581,2,17,2020-01-19,0.18,3,362
489774,Luxury Apt. Plaza Carso Polanco,2415111,Max,,Miguel Hidalgo,19.4435,-99.20307,Entire home/apt,2061,4,43,2019-10-24,0.78,2,365
491412,Luxury Room for rent in Mexico City,2428947,Esther,,Miguel Hidalgo,19.38845,-99.24108,Private room,1199,1,0,,,1,190
499553,"Deluxe 4-BR penthouse, views, historic center",1297488,Petra,,Cuauhtémoc,19.4345,-99.13877,Entire home/apt,4123,3,23,2019-12-08,0.25,3,72
517503,Nice big room near airport,2547499,Irma,,Venustiano Carranza,19.43852,-99.08118,Private room,562,1,103,2020-01-12,4.69,2,362
521867,Beautiful  bedroom in Mexico City near Sta Fe,2566613,Flor,,Álvaro Obregón,19.38751,-99.22409,Private room,469,2,0,,,1,87
527473,Roma Condesa Espectacular Home,158585,Fernando,,Cuauhtémoc,19.41848,-99.17195,Entire home/apt,2417,1,153,2020-01-08,1.69,9,310
555663,Stylish Apartment w/Balcony &Great Location 20%OFF,2732644,Paola,,Cuauhtémoc,19.42857,-99.15599,Entire home/apt,1705,1,24,2020-01-09,0.43,2,365
567176,Un descanso en CDMX,2336127,Ana Karen,,Cuauhtémoc,19.4545,-99.15792,Private room,206,7,24,2020-01-18,0.44,1,337
571166,MODERN/HIP FURNISHED APARTMENT ( S1 Condesa Haus),196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41131,-99.1769,Hotel room,2998,1,1,2019-02-08,0.09,10,343
579534,"""Frida"" beautiful Private Room ",1326107,Jacqueline,,Cuauhtémoc,19.41484,-99.15613,Private room,394,5,8,2017-03-02,0.10,3,0
583039,"BALCONY INCREDIBLE VIEWS, AC, Tour Guide, Lap Pool",2872228,Bruce,,Cuauhtémoc,19.43269,-99.14547,Entire home/apt,1612,3,45,2019-12-12,0.51,19,246
587677,Great room with nice terrace 15 min to Santa Fe,1969754,Luigui,,Álvaro Obregón,19.34365,-99.22526,Private room,656,1,0,,,1,0
607833,Apartment close to the Basílica.,1849414,Omar,,Gustavo A. Madero,19.48311,-99.11389,Private room,375,3,6,2016-06-01,0.08,1,82
608312,Trendy Condesa nice room for rent..,1969996,Gloria,,Cuauhtémoc,19.40716,-99.17694,Private room,1087,2,28,2018-06-22,0.33,5,357
613181,90m2 / Mexico City's Hist. downtown,3040937,Jano,,Cuauhtémoc,19.43888,-99.13617,Entire home/apt,1949,3,167,2020-01-03,1.84,1,340
617137,Apt near Mexico City's downtown,3059169,Andoni,,Cuauhtémoc,19.44722,-99.16065,Shared room,1874,1,0,,,1,365
618711,Mini hostel double bed girls,2269083,Alondra,,Miguel Hidalgo,19.44566,-99.18688,Shared room,187,2,60,2019-04-09,0.67,5,111
628081,"Sunny comfy flat,great location!",2991302,Laura,,Cuauhtémoc,19.41789,-99.17209,Entire home/apt,1612,3,226,2020-01-19,2.61,1,112
635324,Lovely studio in colonial San Angel,264422,Regina & Romain,,Álvaro Obregón,19.35323,-99.19343,Entire home/apt,750,2,143,2019-12-29,1.64,2,254
640803,"Juan O'Gorman House - Studio, ",3200155,Paulina,,Álvaro Obregón,19.35002,-99.19902,Entire home/apt,6147,4,22,2017-05-19,0.25,2,358
642797,"Big Penthouse, Unmatched View. Great Location.",3151538,Leon,,Miguel Hidalgo,19.4143,-99.18042,Entire home/apt,7477,2,86,2020-01-08,1.00,2,140
654040,Private room in nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44187,-99.18437,Private room,543,3,1,2016-08-03,0.02,2,328
654106,1 private room in a nice apartment,3289927,Yaotl,,Miguel Hidalgo,19.44185,-99.18494,Private room,543,5,1,2013-12-21,0.01,2,364
655422,"Comfortable and luminous house, 3 levels, 1-10 prs",3299226,Carlos,,Venustiano Carranza,19.41451,-99.11776,Entire home/apt,731,2,59,2019-12-02,0.66,1,353
691019,Modern Complex in Historic District⭐️,3531879,Gonzalo & Sandra,,Cuauhtémoc,19.4314,-99.14397,Entire home/apt,1555,2,239,2020-01-07,2.68,3,305
696031,Simple y Práctico a 2 cuadras de Polanco,3531879,Gonzalo & Sandra,,Miguel Hidalgo,19.44298,-99.18343,Entire home/apt,881,15,143,2019-09-08,1.66,3,329
