id,tipo,nombre,categoria,calle_y_numero,colonia,alcaldia,cp
576,Hotel,Hotel Fiesta Inn Periférico Sur,5 Estrellas,Periférico Sur 5530,Pedregal de Carrasco,Coyoacán,4700
577,Hotel,Hotel Prado Floresta,2 Estrellas,Doctor Valenzuela 51,Doctores,Cuauhtémoc,6720
578,Hotel,Hotel Caban,4 Estrellas,Guadalupe I. Ramírez 578,Tierra Nueva,Xochimilco,16050
579,Hotel,Hotel Corona Real,3 Estrellas,Avenida Extremadura 192,Insurgentes Mixcoac,Benito Juárez,3920
580,Hotel,Holiday Inn Express Hotel & Suites at The WTC,4 Estrellas,Dakota 95,Nápoles,Benito Juárez,3810
581,Hotel,Hotel Four Points by Sheraton México City,5 Estrellas,Avenida Álvaro Obregón 38,Roma Norte,Cuauhtémoc,6700
582,Hotel,City Express EBC Reforma,4 Estrellas,Havre 21,Juárez,Cuauhtémoc,6600
583,Hotel,Camino Real Santa Fe,5 Estrellas,Guillermo González Camarena 300,Santa Fe,Álvaro Obregón,1210
584,Hotel,Hostel Condesa Chapultepec,Sin Clasificar,Cozumel 53-A,Roma Norte,Cuauhtémoc,6700
585,Hotel,Hampton Inn & Suites By Hilton Ciudad de México Centro Histórico,5 Estrellas,5 de Febrero 24,Centro (Área 6),Cuauhtémoc,6060
586,Hotel,Hotel Novit,5 Estrellas,Avenida Insurgentes Sur 635,Nápoles,Benito Juárez,3810
587,Hotel,Holiday Inn & Suites México Médica Sur,5 Estrellas,Puente de Piedra 150,Toriello Guerra,Tlalpan,14050
588,Hotel,NH Collection México City Airport T2,5 Estrellas,Avenida Capitán Carlos León sin número,Zona Federal,Venustiano Carranza,15620
589,Hotel,Hotel Room Mate Valentina,4 Estrellas,Amberes 27,Juárez,Cuauhtémoc,6600
590,Hotel,One Ciudad de México Patriotismo,3 Estrellas,Avenida Patriotismo 229,San Pedro de los Pinos,Benito Juárez,3800
591,Hotel,Casa Comtesse,Sin Clasificar,Benjamín Franklin 197,Hipódromo Condesa,Cuauhtémoc,6140
592,Hotel,Hotel La Casa de la Luna,3 Estrellas,Simón Bolívar 57,Centro (Área 1),Cuauhtémoc,6000
593,Hotel,Comfort Inn Santa Fe Bosques,4 Estrellas,Paseo de la Reforma 557,Paseo de las Lomas,Álvaro Obregón,1330
594,Hotel,Suites Masliah,5 Estrellas,Ludovico Ariosto 16,Polanco V sección,Miguel Hidalgo,11560
595,Hotel,Hilton México City Santa Fe,5 Estrellas,Antonio Dovali Jaime 70,Lomas de Santa Fe,Álvaro Obregón,1219
596,Hotel,Ibis Styles México Zona Rosa,3 Estrellas,Liverpool 115 A,Juárez,Cuauhtémoc,6600
597,Hotel,Hotel Tryp World Trade Center,4 Estrellas,Viaducto Miguel Alemán 14,Nápoles,Benito Juárez,3810
598,Hotel,Suites Extasis S.A. de C.V.,2 Estrellas,Avenida Xochimilco 211,Agrícola Pantitlán,Iztacalco,8100
599,Hotel,Motel Tentación S.A. de C.V.,2 Estrellas,Guelatao 80,Santa María Aztahuacan,Iztapalapa,9500
600,Hotel,Ibis México Alameda,3 Estrellas,Balderas 49,Centro (Área 5),Cuauhtémoc,6050
601,Hotel,St. Isidro Corporate Housing,5 Estrellas,San Isidro 63,Reforma Social,Miguel Hidalgo,11650
602,Hotel,Las Suites Polanco,5 Estrellas,Campos Elíseos 470,Polanco V sección,Miguel Hidalgo,11560
603,Hotel,Holiday Inn Express México Reforma,5 Estrellas,Avenida Paseo de la Reforma 208,Juárez,Cuauhtémoc,6600
604,Hotel,Hotel Presidente Inter-Continental Santa Fe,5 Estrellas,Juan Salvador Agraz 97,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348
605,Hotel,Live Aqua Mexico City & Spa,5 Estrellas,Avenida Paseo de los Tamarindos 98,Bosques de las Lomas,Cuajimalpa de Morelos,5120
606,Hotel,Hotel Viaducto,4 Estrellas,Calle 1° de Mayo 4,La Cruz,Iztacalco,8310
607,Hotel,City Express Plus Insurgentes Sur,4 Estrellas,Avenida Insurgentes Sur 1581,San José Insurgentes,Benito Juárez,3900
608,Hotel,Suites Ganges,4 Estrellas,Río Ganges 32,Cuauhtémoc,Cuauhtémoc,6500
609,Hotel,Wyndham Garden Residences México City,4 Estrellas,Río Ebro 84,Cuauhtémoc,Cuauhtémoc,6500
610,Hotel,City Express Plus Santa Fe,4 Estrellas,Juan Salvador Agraz 71,Santa Fe Cuajimalpa,Cuajimalpa de Morelos,5348
611,Hotel,Hotel Exe Cities Reforma,4 Estrellas,Roma 40,Juárez,Cuauhtémoc,6000
612,Hotel,City Express La Raza,4 Estrellas,Calzada Vallejo 296,San Francisco Xocotitla,Azcapotzalco,2960
613,Hotel,City Express Plus Patio Universidad,4 Estrellas,Avenida Popocatépetl 546,Xoco,Benito Juárez,3300
614,Hotel,Hotel Marlowe,3 Estrellas,Avenida Independencia 17,Centro (Área 5),Cuauhtémoc,6050
615,Hotel,Hotel Fiesta Americana Grand Chapultepec,5 Estrellas,Calzada General Mariano Escobedo 756,Anzures,Miguel Hidalgo,11590
616,Hotel,Hotel Courtyard by Marriott Revolución,5 Estrellas,Avenida Revolución 333,Tacubaya,Miguel Hidalgo,11870
617,Hotel,Holiday Inn México Dalí Aeropuerto,5 Estrellas,Viaducto Río de la Piedad 260,Pueblo de la Magdalena Mixihuca,Venustiano Carranza,15860
618,Hotel,Hotel Royal Pedregal,5 Estrellas,Avenida Periférico Sur 4363,Jardines en la Montaña,Tlalpan,14210
619,Hotel,Hotel Presidente Inter-Continental Mexico City,5 Estrellas,Campos Elíseos 218,Polanco V sección,Miguel Hidalgo,11560
620,Hotel,Hotel Habita,5 Estrellas,Avenida Presidente Masaryk  201,Polanco V sección,Miguel Hidalgo,11560
621,Hotel,Crowne Plaza Hotel de México,5 Estrellas,Dakota 95,Nápoles,Benito Juárez,3810
622,Hotel,The St. Regis México City,5 Estrellas,Paseo de la Reforma 439,Cuauhtémoc,Cuauhtémoc,6500
623,Hotel,Hotel Las Alcobas,5 Estrellas,Avenida Presidente Masaryk 390,Polanco V sección,Miguel Hidalgo,11560
624,Hotel,Anys Hostal y Cafetería,Sin Clasificar,Puebla 203,Roma Norte,Cuauhtémoc,6700
625,Hotel,One Ciudad de México La Raza,3 Estrellas,Circuito Interior Avenida Río Consulado 130,Santa María Insurgentes,Cuauhtémoc,6430
626,Hotel,Sleep Inn Ciudad de México,5 Estrellas,Carretera México - Toluca 5454,El Yaqui,Cuajimalpa de Morelos,5320
627,Hotel,Casa Pepe Hostal Boutique,Sin Clasificar,República de Uruguay 86,Centro Histórico,Cuauhtémoc,6000
628,Hotel,Fiesta Americana Viaducto Aeropuerto,5 Estrellas,Avenida Viad. Río de la Piedad 515,Granjas México,Iztacalco,8400
629,,Hostal Mexiqui,Sin Clasificar,República de Guatemala 30,Centro Histórico,Cuauhtémoc,6020
630,,Círculo Condesa Hotel,4 Estrellas,Ometusco 7,Hipódromo,Cuauhtémoc,6170
