id,nombre,linea,delegacion 
148,El Chopo,Línea 1,
149,Manuel González,Línea 1,
150,Euzkaro,Línea 1,
151,Terminal Tacubaya. Metrobús. Línea 2,Línea 2,
152,De La Salle,Línea 2,
153,Escandón,Línea 2,
154,Amores,Línea 2,
155,Etiopía. Línea 2,Línea 2,
156,Álamos,Línea 2,
157,Goma,Línea 2,
158,Iztacalco,Línea 2,
159,Río Frío,Línea 2,
160,General Antonio de León,Línea 2,
161,Terminal Etiopía-Plaza de la Transparencia,Línea 3,
162,Juárez. Línea 3,Línea 3,
163,Hidalgo,Línea 3,
164,Mina,Línea 3,
165,Buenavista - Línea 3,Línea 3,
166,Cuitláhuac,Línea 3,
167,La Patera,Línea 3,
168,Progreso Nacional,Línea 3,
169,San José de la Escalera,Línea 3,
170,Metrobus Tenayuca,Línea 3,
171,Héroe de Nacozari,Línea 3,
172,Terminal 1 - Aeropuerto,Línea 4,
173,Buenavista. Línea 4,Línea 4,
174,Circunvalación,Línea 4,
175,Moctezuma,Línea 4,
176,Río de los Remedios,Línea 5,
177,5 de Mayo,Línea 5,
178,El Coyol,Línea 5,
179,Preparatoria 3,Línea 5,
180,Victoria,Línea 5,
181,Canal del Norte,Línea 5,
182,Río Consulado,Línea 5,
183,Francisco Morazán,Línea 6,
184,416 Oriente,Línea 6,
185,Deportivo Los Galeana,Línea 6,
186,414,Línea 6,
187,Gran Canal,Línea 6,
188,Martín Carrera,Línea 6,
189,La Villa,Línea 6,
190,Instituto del Petróleo,Línea 6,
191,Ferrocarriles Nacionales,Línea 6,
192,De Las Culturas,Línea 6,
193,Colegio de Bachilleres 1,Línea 6,
194,El Rosario,Línea 6,
