id,wkt_geom,nombre,linea,lon,lat,geopoint
205,PointZ (-99.11542499999998768 19.43111599999999939 0),Terminal San Lázaro,Línea 4,-99.11542499999999,19.431116,"19.431116,-99.115425"
206,PointZ (-99.1190029999999922 19.43581400000000059 0),Morelos,Línea 4,-99.119003,19.435814,"19.435814,-99.119003"
207,PointZ (-99.12161299999999642 19.43600100000000097 0),Ferrocarril de Cintura,Línea 4,-99.121613,19.436001,"19.436001,-99.121613"
208,PointZ (-99.12762499999999477 19.43676900000000174 0),Teatro del Pueblo,Línea 4,-99.127625,19.436769,"19.436769,-99.127625"
209,PointZ (-99.13589500000000498 19.43796499999999838 0),República de Chile,Línea 4,-99.135895,19.437965,"19.437965,-99.135895"
210,PointZ (-99.13997700000000179 19.43863699999999994 0),Teatro Blanquita,Línea 4,-99.139977,19.438637,"19.438637,-99.139977"
211,PointZ (-99.1417160000000024 19.4364050000000006 0),Bellas Artes,Línea 4,-99.141716,19.436405,"19.436405,-99.141716"
212,PointZ (-99.14182300000000225 19.4364069999999991 0),Bellas Artes,Línea 4,-99.141823,19.436407,"19.436407,-99.141823"
213,PointZ (-99.15060400000000129 19.43822700000000125 0),Museo San Carlos,Línea 4,-99.150604,19.438227,"19.438227,-99.150604"
214,PointZ (-99.08612100000000567 19.50672499999999943 0),Río de los Remedios,Línea 5,-99.086121,19.506725,"19.506725,-99.086121"
215,PointZ (-99.09012599999999793 19.49716899999999953 0),5 de Mayo,Línea 5,-99.090126,19.497169,"19.497169,-99.090126"
216,PointZ (-99.09417000000000542 19.48760000000000048 0),El Coyol,Línea 5,-99.09417,19.4876,"19.4876,-99.09417"
217,PointZ (-99.09577899999999318 19.4839500000000001 0),Preparatoria 3,Línea 5,-99.095779,19.48395,"19.48395,-99.095779"
218,PointZ (-99.10275300000000698 19.46747200000000078 0),Victoria,Línea 5,-99.102753,19.467472,"19.467472,-99.102753"
219,PointZ (-99.11045799999999417 19.44946699999999851 0),Canal del Norte,Línea 5,-99.110458,19.449467,"19.449467,-99.110458"
220,PointZ (-99.10840600000000222 19.45363400000000098 0),Río Consulado,Línea 5,-99.108406,19.453634,"19.453634,-99.108406"
221,PointZ (-99.06228299999999365 19.46724999999999994 0),Francisco Morazán,Línea 6,-99.062283,19.46725,"19.46725,-99.062283"
222,PointZ (-99.07098999999998057 19.47154400000000152 0),416 Oriente,Línea 6,-99.07098999999998,19.471544,"19.471544,-99.07099"
223,PointZ (-99.07801700000000267 19.47842699999999994 0),Deportivo Los Galeana,Línea 6,-99.078017,19.478427,"19.478427,-99.078017"
224,PointZ (-99.07174600000000453 19.46853399999999823 0),414,Línea 6,-99.071746,19.468534,"19.468534,-99.071746"
225,PointZ (-99.09241000000000099 19.47677799999999948 0),Gran Canal,Línea 6,-99.09241,19.476778,"19.476778,-99.09241"
226,PointZ (-99.09749999999998238 19.4788010000000007 0),San Juan de Aragón,Línea 6,-99.09749999999998,19.478801,"19.478801,-99.0975"
227,PointZ (-99.10591199999998935 19.48229100000000003 0),Martín Carrera,Línea 6,-99.105912,19.482291,"19.482291,-99.105912"
228,PointZ (-99.11905500000000302 19.48525400000000118 0),La Villa,Línea 6,-99.119055,19.485254,"19.485254,-99.119055"
229,PointZ (-99.14564099999999769 19.49326500000000095 0),Instituto del Petróleo,Línea 6,-99.145641,19.493265,"19.493265,-99.145641"
230,PointZ (-99.18973599999999635 19.505077 0),Ferrocarriles Nacionales,Línea 6,-99.189736,19.505077,"19.505077,-99.189736"
231,PointZ (-99.19235399999999458 19.51067000000000107 0),De Las Culturas,Línea 6,-99.192354,19.51067,"19.51067,-99.192354"
232,PointZ (-99.19753099999998369 19.51149900000000059 0),Colegio de Bachilleres 1,Línea 6,-99.19753099999998,19.511499,"19.511499,-99.197531"
233,PointZ (-99.20008399999998971 19.50676599999999894 0),El Rosario,Línea 6,-99.200084,19.506766,"19.506766,-99.200084"
