id,nombre,linea,delegaci�n
224,414,6,7
225,Gran Canal,6,7
226,San Juan de Aragón,6,7
227,Martín Carrera,6,7
228,La Villa,6,7
229,Instituto del Petróleo,6,7
230,Ferrocarriles Nacionales,6,2
231,De Las Culturas,6,2
232,Colegio de Bachilleres 1,6,2
233,El Rosario,6,2
