Tipo AirBnB,Alcaldía,Precio Promedio 2020
Entire home/apt,Álvaro Obregón,1605
Entire home/apt,Azcapotzalco,868
Entire home/apt,Benito Juárez,1167
Entire home/apt,Coyoacán,1344
Entire home/apt,Cuajimalpa de Morelos,2147
Entire home/apt,Cuauhtémoc,1711
Entire home/apt,Gustavo A. Madero,1026
Entire home/apt,Iztacalco,852
Entire home/apt,Iztapalapa,1236
Entire home/apt,La Magdalena Contreras,1021
Entire home/apt,Miguel Hidalgo,2255
Entire home/apt,Milpa Alta,1255
Entire home/apt,Tláhuac,756
Entire home/apt,Tlalpan,1230
Entire home/apt,Venustiano Carranza,881
Entire home/apt,Xochimilco,1380
Hotel room,Álvaro Obregón,1542
Hotel room,Azcapotzalco,268
Hotel room,Benito Juárez,1280
Hotel room,Coyoacán,1814
Hotel room,Cuajimalpa de Morelos,1990
Hotel room,Cuauhtémoc,1731
Hotel room,Gustavo A. Madero,677
Hotel room,Iztacalco,611
Hotel room,Iztapalapa,331
Hotel room,Miguel Hidalgo,2520
Hotel room,Tlalpan,627
Private room,Álvaro Obregón,713
Private room,Azcapotzalco,580
Private room,Benito Juárez,607
Private room,Coyoacán,656
Private room,Cuajimalpa de Morelos,950
Private room,Cuauhtémoc,825
Private room,Gustavo A. Madero,617
Private room,Iztacalco,488
Private room,Iztapalapa,2381
Private room,La Magdalena Contreras,569
Private room,Miguel Hidalgo,952
Private room,Milpa Alta,741
Private room,Tláhuac,402
Private room,Tlalpan,538
Private room,Venustiano Carranza,522
Private room,Xochimilco,2267
Shared room,Álvaro Obregón,779
Shared room,Azcapotzalco,370
Shared room,Benito Juárez,1876
Shared room,Coyoacán,643
Shared room,Cuajimalpa de Morelos,649
Shared room,Cuauhtémoc,617
Shared room,Gustavo A. Madero,608
Shared room,Iztacalco,334
Shared room,Iztapalapa,549
Shared room,La Magdalena Contreras,359
Shared room,Miguel Hidalgo,571
Shared room,Milpa Alta,443
Shared room,Tláhuac,1166
Shared room,Tlalpan,384
Shared room,Venustiano Carranza,542
Shared room,Xochimilco,323
