Alcaldía,# OFERTAS,MES
Álvaro Obregón,982,1
Azcapotzalco,248,1
Benito Juárez,3112,1
Coyoacán,1705,1
Cuajimalpa de Morelos,510,1
Cuauhtémoc,7541,1
Gustavo A. Madero,381,1
Iztacalco,273,1
Iztapalapa,305,1
La Magdalena Contreras,152,1
Miguel Hidalgo,3244,1
Milpa Alta,25,1
Tláhuac,52,1
Tlalpan,844,1
Venustiano Carranza,434,1
Xochimilco,147,1
Álvaro Obregón,977,2
Azcapotzalco,248,2
Benito Juárez,3133,2
Coyoacán,1675,2
Cuajimalpa de Morelos,516,2
Cuauhtémoc,7626,2
Gustavo A. Madero,386,2
Iztacalco,264,2
Iztapalapa,300,2
La Magdalena Contreras,145,2
Miguel Hidalgo,3288,2
Milpa Alta,25,2
Tláhuac,52,2
Tlalpan,841,2
Venustiano Carranza,440,2
Xochimilco,149,2
Álvaro Obregón,973,3
Azcapotzalco,239,3
Benito Juárez,3097,3
Coyoacán,1670,3
Cuajimalpa de Morelos,526,3
Cuauhtémoc,7578,3
Gustavo A. Madero,396,3
Iztacalco,282,3
Iztapalapa,295,3
La Magdalena Contreras,147,3
Miguel Hidalgo,3272,3
Milpa Alta,23,3
Tláhuac,49,3
Tlalpan,870,3
Venustiano Carranza,456,3
Xochimilco,148,3
