id,elemento,fecha,anio,month,week,localizacion,medicion
96,Precipitación pluvial,2016-02-15,2016,2,7,7,-99.0
97,Precipitación pluvial,2016-02-15,2016,2,7,4,-99.0
98,Precipitación pluvial,2016-02-15,2016,2,7,9,-99.0
99,Precipitación pluvial,2016-02-15,2016,2,7,2,-99.0
100,Precipitación pluvial,2016-02-15,2016,2,7,16,-99.0
101,Precipitación pluvial,2016-02-15,2016,2,7,13,-99.0
102,Precipitación pluvial,2016-02-15,2016,2,7,1,-99.0
103,Precipitación pluvial,2016-02-15,2016,2,7,6,-99.0
104,Precipitación pluvial,2016-02-15,2016,2,7,14,-99.0
105,Precipitación pluvial,2016-02-15,2016,2,7,15,-99.0
106,Precipitación pluvial,2016-02-15,2016,2,7,10,-99.0
107,Precipitación pluvial,2016-02-15,2016,2,7,11,-99.0
108,Precipitación pluvial,2016-02-15,2016,2,7,8,-99.0
109,Precipitación pluvial,2016-02-15,2016,2,7,5,-99.0
110,Precipitación pluvial,2016-02-15,2016,2,7,12,-99.0
111,Precipitación pluvial,2016-02-15,2016,2,7,3,-99.0
112,Precipitación pluvial,2016-02-22,2016,2,8,7,-99.0
113,Precipitación pluvial,2016-02-22,2016,2,8,4,-99.0
114,Precipitación pluvial,2016-02-22,2016,2,8,9,-99.0
115,Precipitación pluvial,2016-02-22,2016,2,8,2,-99.0
116,Precipitación pluvial,2016-02-22,2016,2,8,16,-99.0
117,Precipitación pluvial,2016-02-22,2016,2,8,13,-99.0
118,Precipitación pluvial,2016-02-22,2016,2,8,1,-99.0
119,Precipitación pluvial,2016-02-22,2016,2,8,6,-99.0
120,Precipitación pluvial,2016-02-22,2016,2,8,14,-99.0
121,Precipitación pluvial,2016-02-22,2016,2,8,15,-99.0
122,Precipitación pluvial,2016-02-22,2016,2,8,10,-99.0
123,Precipitación pluvial,2016-02-22,2016,2,8,11,-99.0
124,Precipitación pluvial,2016-02-22,2016,2,8,8,-99.0
125,Precipitación pluvial,2016-02-22,2016,2,8,5,-99.0
126,Precipitación pluvial,2016-02-22,2016,2,8,12,-99.0
127,Precipitación pluvial,2016-02-22,2016,2,8,3,-99.0
128,Precipitación pluvial,2016-02-29,2016,2,9,7,-99.0
129,Precipitación pluvial,2016-02-29,2016,2,9,4,-99.0
130,Precipitación pluvial,2016-02-29,2016,2,9,9,-99.0
131,Precipitación pluvial,2016-02-29,2016,2,9,2,-99.0
132,Precipitación pluvial,2016-02-29,2016,2,9,16,-99.0
133,Precipitación pluvial,2016-02-29,2016,2,9,13,-99.0
134,Precipitación pluvial,2016-02-29,2016,2,9,1,-99.0
135,Precipitación pluvial,2016-02-29,2016,2,9,6,-99.0
136,Precipitación pluvial,2016-02-29,2016,2,9,14,-99.0
137,Precipitación pluvial,2016-02-29,2016,2,9,15,-99.0
138,Precipitación pluvial,2016-02-29,2016,2,9,10,-99.0
139,Precipitación pluvial,2016-02-29,2016,2,9,11,-99.0
