mes,PROMEDIO
1,30.9290322580645
2,26.275
3,38.64375
4,15.3473737373737
5,19.8740036231884
6,42.2905709342561
7,37.992046875
8,41.6978710644678
9,32.4754388984509
10,19.6960898876405
11,53.8833333333333
12,19.0121739130435
