año,PROMEDIO
2010,33.0939682539682
2011,36.3481469648562
2012,28.4194
2013,34.2190983606557
2014,38.7732368421053
2015,27.4949184782609
2016,33.2056358381503
2017,34.0296866840731
2018,34.3163392857143
2019,28.5979310344828
