Delegación,PROMEDIO
Cuajimalpa,49.2793827160494
Cuauhtémoc,31.9897826086957
Ecatepec,25.1555042016807
Gustavo A. Madero,29.5074248927039
Magdalena Contreras,44.2960199004975
Miguel Hidalgo,38.0464900662252
Milpa Alta,24.156835443038
Nezahualcóyotl,24.6968691588785
Texcoco,21.1502183406113
Tlalnepantla,30.3451914893617
Tlalpan,38.5580491132333
Xochimilco,22.2418222222222
