id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21847492,Escandon Flat,57901649,Eugenio,,Miguel Hidalgo,19.40214,-99.17749,Entire home/apt,1105,2,14,2019-02-27,0.78,1,262
21847678,Cozy and bright apartment in great location,12474095,Eugenia,,Benito Juárez,19.3725,-99.18366,Entire home/apt,686,28,4,2019-05-15,0.26,1,173
21849206,Bonito y céntrico departamento,26277427,Vanesa,,Cuauhtémoc,19.43681,-99.13853,Entire home/apt,648,4,10,2019-03-26,0.98,2,350
21850086,Estancia céntrica,159338386,Karla Gabriela,,Benito Juárez,19.3882,-99.16815,Private room,343,1,5,2018-04-23,0.28,1,0
21850414,"LINDA RECÁMARA!COLMEX,SIX FLAGS, AJUSCO, GOTCHA!",122241531,Tere,,Tlalpan,19.27964,-99.20596,Private room,209,1,34,2019-05-12,2.01,1,86
21850483,Cuarto Acogedor con oficina disponible,119176623,Alberto,,Álvaro Obregón,19.38708,-99.19199,Private room,248,1,17,2019-04-17,0.94,2,299
21850817,Departamento céntrico y con vistas espectaculares,119176623,Alberto,,Álvaro Obregón,19.3857,-99.19251,Entire home/apt,191,1,5,2018-01-14,0.29,2,0
21851283,Espacious and illuminated apartment great located,8336987,Peter,,Benito Juárez,19.38671,-99.17689,Private room,591,2,1,2017-11-28,0.06,2,355
21851836,Condesa. Great views 2BR/2BA apt amazing location.,159379819,Grace,,Cuauhtémoc,19.41418,-99.16627,Entire home/apt,2268,2,29,2019-02-11,1.72,1,256
21852242,Spacious 2BR/2.5BA apt @Condesa w/Patios & Terrace,159385182,Araceli,,Cuauhtémoc,19.41614,-99.17821,Entire home/apt,2973,2,49,2019-05-07,2.70,1,339
21852437,Departamento residencial con excelente ubicación 1,95755203,Alejandro,,Álvaro Obregón,19.38612,-99.19078,Entire home/apt,743,4,12,2019-04-02,0.98,2,17
21852721,Homely Apartment in Del Valle,159391440,Laura,,Benito Juárez,19.37053,-99.16575,Entire home/apt,705,1,3,2018-09-16,0.18,1,353
21852836,Se Renta Bonita Recamara,1809368,Flor,,Coyoacán,19.3469,-99.1258,Entire home/apt,457,1,0,,,5,365
21853209,Great Apartment in Down Town,159397442,Nicole,,Cuauhtémoc,19.42281,-99.14351,Entire home/apt,1696,1,2,2018-01-13,0.12,1,0
21853264,Agradable Habitación,1809368,Flor,,Coyoacán,19.34888,-99.1278,Private room,8576,1,0,,,5,365
21859800,Cozy and quiet apt Colonia Roma,53879971,Irene,,Cuauhtémoc,19.41637,-99.1536,Entire home/apt,572,2,7,2019-01-24,0.47,1,172
21861966,Lux appartment in Santa Fe,37742252,Moises,,Cuajimalpa de Morelos,19.37396,-99.26787,Entire home/apt,1906,10,8,2019-04-21,0.46,6,342
21862727,"Casa con jardín, cocina y estudio. Zona céntrica",157864525,Raymundo,,Coyoacán,19.3135,-99.14524,Private room,343,1,34,2019-04-22,1.93,1,180
21862934,"Departamento ""La Guayaba"". 
Nice & cozy",33621065,Tonatiuh,,Cuauhtémoc,19.41151,-99.1791,Entire home/apt,1105,2,35,2019-04-21,1.96,1,360
21864083,House of cdmx,159481852,Isaac,,Iztapalapa,19.32559,-99.0891,Entire home/apt,953,1,0,,,1,358
21864139,"Hermoso apartamento, corazón de Ciudad de México.",3340850,Andrea Carolina,,Cuauhtémoc,19.45008,-99.16395,Entire home/apt,896,1,17,2018-10-26,0.95,1,140
21865760,"Next to the IPADE, international exchange students",159498535,Wendolín,,Azcapotzalco,19.46148,-99.1832,Private room,646,7,0,,,1,365
21865841,Room in Luxurious Apt on exclusive Masaryk Ave,7016912,Rob,,Miguel Hidalgo,19.43198,-99.20393,Private room,1121,2,35,2019-05-05,2.19,1,356
21865878,Cuartos cómodos en la zona sur de la ciudad,97526137,Jeniffer,,Coyoacán,19.31592,-99.11814,Private room,191,1,0,,,4,363
21867007,Habitación sencilla en Xochimilco tepepan,159508454,Charlie,,Xochimilco,19.26531,-99.13299,Private room,248,1,0,,,1,0
21867693,Se renta habitación en unidad santa fe  belen,137991091,Andrea,,Álvaro Obregón,19.38646,-99.2221,Private room,741,1,0,,,6,365
21868282,Cozy full apartment in city of México,159518774,Sofía Y Enrique,,Benito Juárez,19.39818,-99.16425,Entire home/apt,476,4,37,2019-05-04,2.10,1,61
21868599,The Perfect Corner in Narvarte,21975105,Eda,,Benito Juárez,19.40163,-99.14832,Entire home/apt,667,3,13,2018-07-01,0.76,1,81
21868610,Live the city!,26869771,German,,Cuauhtémoc,19.42076,-99.17191,Entire home/apt,1182,3,43,2019-05-15,2.44,2,313
21868807,Colonial Coyoacán-Chimalistac: Comfort & Style,69808957,Alfredo,,Álvaro Obregón,19.35038,-99.18137,Entire home/apt,1658,2,1,2017-12-30,0.06,2,0
21869518,Colonial Coyoacán-Chimalistac: Comf&Style Sofa Bed,69808957,Alfredo,,Álvaro Obregón,19.35104,-99.18194,Shared room,515,2,0,,,2,88
21876713,cozy and centric private room,16681049,María Guadalupe,,Benito Juárez,19.37574,-99.15632,Private room,305,2,0,,,1,0
21881868,Private room in excellent ubication Del valle,93809776,David,,Benito Juárez,19.38408,-99.17122,Private room,400,2,1,2018-11-19,0.16,2,363
21882519,Beautiful apartment in the heart of Polanco,53838014,Itziar,,Miguel Hidalgo,19.43092,-99.19018,Entire home/apt,3202,3,2,2017-12-28,0.11,1,345
21883497,Best Location / Services / Safety / Condesa-Roma,159639624,Leticia,,Cuauhtémoc,19.41959,-99.17105,Entire home/apt,896,2,103,2019-05-16,5.70,1,186
21884073,"AN OASIS IN THE BEST NEIGHBOURHOOD, ""POLANCO""",10501977,Guillermo,,Miguel Hidalgo,19.44086,-99.20453,Entire home/apt,2801,2,74,2019-05-11,4.14,1,240
21884713,El arte en México,14562136,Karin,,Cuauhtémoc,19.41584,-99.17697,Private room,1506,2,0,,,3,294
21884823,Clásica habitación privada en dos niveles.,70937648,Victor,,Cuauhtémoc,19.45106,-99.16066,Private room,991,1,109,2019-05-20,7.16,16,330
21885021,Habitación luminosa y moderna con terraza privada,70937648,Victor,,Cuauhtémoc,19.44877,-99.16048,Private room,800,1,112,2019-05-19,7.42,16,326
21886094,"Marifer, encantador cuarto en Coyoacan",150323572,Carlos,,Coyoacán,19.34892,-99.15785,Private room,6518,1,28,2019-05-11,1.74,4,115
21886096,Preciosa casa en el centro de Coyoacan,150323572,Carlos,,Coyoacán,19.34739,-99.15924,Entire home/apt,2992,2,30,2019-04-30,1.68,4,345
21888693,Confortable and secure private bedroom with bath.,11973374,Patricia,,Miguel Hidalgo,19.42069,-99.21662,Private room,931,6,1,2019-01-31,0.27,1,88
21892247,"Depto. 602, Burdeos 37, Col. Juárez, CDMX",113913803,Margarita,,Cuauhtémoc,19.42228,-99.17419,Entire home/apt,2287,3,1,2018-02-18,0.07,1,362
21892489,Depto 2 recamaras cerca de paseo de la reforma,159733208,Toña,,Cuauhtémoc,19.4374,-99.16535,Entire home/apt,896,2,9,2019-02-27,0.53,1,180
21892661,Ideal para conocer la Ciudad de México,159734945,Alfredo,,Cuauhtémoc,19.42268,-99.1479,Entire home/apt,991,1,107,2019-05-06,6.20,1,323
21893065,Habitación Privada en Polanco / Reforma (23),153003348,Juan Carlos,,Miguel Hidalgo,19.42876,-99.17526,Private room,343,1,14,2019-02-25,0.78,5,363
21895030,Cómoda Habitación CDMX Poniente,52880071,Omar,,Álvaro Obregón,19.38545,-99.19344,Private room,495,2,0,,,1,90
21896680,Apartamento Polanco,159760253,Saul,,Miguel Hidalgo,19.44148,-99.1831,Entire home/apt,457,1,33,2019-05-15,1.82,2,85
21896719,Eje Central y Reforma. 15 minutes to CDMX Airport,157482160,Claudia,,Cuauhtémoc,19.445,-99.13873,Entire home/apt,893,2,40,2019-04-30,2.23,1,365
21896783,Recamara amplia c baño privado a 4 cuadras del WTC,8336987,Peter,,Benito Juárez,19.38788,-99.17809,Private room,495,3,13,2019-02-10,0.80,2,365
21897127,Downtown CDMX apartment,38300523,Ángeles,,Cuauhtémoc,19.43649,-99.13744,Private room,495,1,1,2018-12-22,0.20,1,0
21897568,Nice room in Condesa just next to parks and cafés,43126423,Josefin And Mauricio,,Cuauhtémoc,19.41219,-99.16727,Private room,400,2,1,2018-01-13,0.06,1,0
21897580,Destination Condesa @Aguascalientes,53361285,Destination MX,,Cuauhtémoc,19.40902,-99.17009,Entire home/apt,1734,1,141,2019-05-16,7.76,25,84
