id,tipo,nombre,categoria,alcaldia
131,Hotel,Hotel Cima,2,15
132,Hotel,Hotel Normandie,3,6
133,Hotel,Hotel Tres Colonias,1,6
134,Hotel,Gran Hotel Texas,2,6
135,Hotel,Hotel Gilbert,2,6
136,Hotel,Hotel Boston,0,6
137,Hotel,Hotel Ándes,2,7
138,Hotel,Hotel Minero Napoleón,0,3
139,Hotel,Hotel Bahía,1,11
140,Hotel,Hotel Manolo I,3,6
141,Hotel,Hotel Nuevo Laredo,3,7
142,Hotel,Hotel Ciudad Real,2,2
143,Hotel,Hotel San Lucas,3,6
144,Hotel,Hotel Playa Internacional,3,6
145,Hotel,Nuevo Hotel Tijuana,4,3
146,Hotel,Hotel Oasis,1,9
147,Hotel,Amueblados Illinois,0,3
148,Hotel,Hotel Morelos,2,9
149,Hotel,Hotel Cuba,3,6
150,Hotel,Hotel Marconi,0,6
151,Hotel,Hotel Niza,2,6
152,Hotel,Hotel Agua Caliente,0,8
153,Hotel,Motel Porto Sol,4,9
154,Hotel,Hostel Home,0,6
155,Hotel,Hotel Pasadena Drive Inn,4,3
156,Hotel,Casa de Huéspedes,0,11
157,Hotel,Hotel Guadalajara,2,6
158,Hotel,Suites Marne,3,6
159,Hotel,Hotel Motel Misión Macen,3,16
160,Hotel,Hotel Novotel México Santa Fe,4,1
161,Hotel,Hotel La Luna,3,14
162,Hotel,Hotel & Villas Franklin,4,11
163,Hotel,City Express Suites Anzures,5,11
164,Hotel,Hotel Suites Reforma,5,6
165,Hotel,Grand Chapultepec Residencial,5,6
166,Hotel,Hotel Condesa DF,5,6
167,Hotel,Hostal Amigo,0,6
168,Hotel,Villas Princess Hotel,5,8
169,Hotel,Greene's Tours Suite,0,1
170,Hotel,Le Meridien México City,5,6
171,Hotel,Hostel Zona Rosa,0,6
172,Hotel,Hotel Avilla Suites,3,6
173,Hotel,City Express Plus Reforma El Ángel,4,6
174,Hotel,NH Collection Santa Fe,4,5
175,Hotel,Hostal Regina,0,6
176,Hotel,Holiday Inn Express México Santa Fe,4,1
177,Hotel,México City Hostel,0,6
178,Hotel,Wyndham Garden México City Polanco,4,11
179,Hotel,Courtyard By Marriott México City Airport,4,15
180,Hotel,Hotel Downtown,3,6
181,Hotel,Aztic Hotel y Suites Ejecutivas,3,14
182,Hotel,México City Hostel Suites,0,6
183,Hotel,Hotel Amigo Zócalo,3,6
184,Hotel,Hotel Stadia Suites Santa Fe,5,5
185,Hotel,Casa San Ildefonso,0,6
186,Hotel,La Valise Hotel,5,6
187,Hotel,Hotel Carlota,4,6
188,Hotel,Hotel Macao,1,6
189,Hotel,Hotel Waikiki,1,6
190,Hotel,MOTEL QUINTA MARGARITA S.A. DE C.V.,2,9
191,Hotel,Motel Quinta Bugambilias S.A. de C.V.,2,6
192,Hotel,One Ciudad de México Periférico Sur,3,4
193,Hotel,Hotel El Parque México,5,6
194,Hotel,Villa Condesa,5,6
195,Hotel,DoubleTree by Hilton México City Santa Fe,5,1
196,Hotel,Fiesta Inn Insurgentes Sur,4,3
197,Hotel,Suites Georgio,4,6
198,Hotel,Suites Capri Sevilla,4,6
199,Hotel,Hotel Histórico Central,4,6
200,Hotel,City Express Plus Periférico Sur Tlalpan,4,14
201,Hotel,Casa En Reforma,3,6
202,Hotel,Suites Capri Polanco,3,11
203,Hotel,Block Suites,3,6
204,Hotel,Casa de Huéspedes Amueblados Amado Nervo,0,6
205,Hotel,Four Seasons Hotel México D. F.,5,6
206,Hotel,Radisson Paraíso Hotel México D.F.,5,14
207,Hotel,Hotel Camino Real Aeropuerto,5,15
208,Hotel,Hilton México City Reforma,5,6
209,Hotel,Stara Hamburgo,5,6
210,Hotel,Fiesta Inn Forum Buenavista,4,6
211,Hotel,City Express CDMX La Villa,4,7
212,Hotel,Domingo Santo Hotel Boutique,3,6
213,Hotel,"Umbral, Curio Collection by Hilton",5,6
215,Hotel,Hotel NH Collection México City Reforma,4,6
216,Hotel,Hotel El Salvador,3,6
217,Hotel,Hotel María Cristina,4,6
218,Hotel,Hotel Plaza Florencia,4,6
219,Hotel,Hotel Holiday Inn & Suites México Zona Rosa,5,6
220,Hotel,Posada Viena Hotel,4,6
221,Hotel,Hotel Imperial Reforma,5,6
222,Hotel,Hotel Marquis Reforma,5,6
223,Hotel,Hotel Mallorca,3,6
224,Hotel,City Express Junior Ciudad de México Sullivan,4,6
225,Hotel,Apartamentos Madrid Once,0,6
226,Hotel,Hotel Uxmal,3,6
227,Hotel,Hotel Plaza Madrid,4,6
228,Hotel,Hotel Congreso,1,6
229,Hotel,Hotel Rioja,2,6
230,Hotel,Hotel Canadá,3,6
231,Hotel,Hotel Majestic Best Western,4,6
232,Hotel,Hotel Isabel,2,6
233,Hotel,Hotel Corinto,4,6
234,Hotel,Hotel Puebla,3,6
235,Hotel,Hotel MX Roma,3,6
236,Hotel,Hotel Milán,3,6
237,Hotel,Hotel Regina,0,6
238,Hotel,Hotel Capital O Monarca,3,6
239,Hotel,Hotel Segovia Regency,4,6
240,Hotel,Hotel Estadio,2,6
241,Hotel,Hotel Bajío,1,6
242,Hotel,Hotel Príncipe,3,11
243,Hotel,Hotel Irys Aleph,3,6
244,Hotel,Hotel Ermita,2,11
245,Hotel,Hotel Lirio,1,11
246,Hotel,Hotel Beverly,5,3
247,Hotel,Amueblados Minc Centro,3,6
248,Hotel,Hotel Mónaco,4,6
249,Hotel,Holiday Inn México Buenavista,5,6
250,Hotel,Hotel Fiesta Inn Aeropuerto,4,15
251,Hotel,Hotel Amazonas,3,6
252,Hotel,We México,5,15
253,Hotel,Hotel Gran Sol,4,11
254,Hotel,Hotel Arizona,3,6
255,Hotel,Hotel Lisboa,4,6
256,Hotel,Hotel Century Zona Rosa,5,6
257,Hotel,Hotel Diligencias,3,6
258,Hotel,Hotel Las Américas,3,6
259,Hotel,Suites Havre,2,6
260,Hotel,Hotel Cervantes,1,6
261,Hotel,Hotel La Marina,2,6
262,Hotel,Hotel Oxford,2,6
263,Hotel,Hotel Cónsul,1,6
264,Hotel,Hotel Covadonga,1,6
265,Hotel,Apartamentos Amueblados Kansas,0,3
266,Hotel,Hotel Bernal Díaz,1,6
267,Hotel,Hotel Portales,2,3
268,Hotel,Hotel Clavería,2,2
269,Hotel,Hotel Heraldo,1,2
270,Hotel,Hotel Río,2,11
271,Hotel,Hotel Patria,2,6
272,Hotel,Hotel Kali Ciudadela,3,6
273,Hotel,Hotel Continental Mexicano,2,6
274,Hotel,Hotel El Senador,3,6
275,Hotel,Hotel Parador Real,4,3
276,Hotel,Hotel Turístico Churubusco,3,4
277,Hotel,Hotel Rubí,3,14
278,Hotel,Hotel Caleta,1,6
279,Hotel,Hotel Tío Sam,1,6
280,Hotel,Hotel Encanto,3,6
281,Hotel,Hotel Celta,1,6
282,Hotel,Hotel Titán,1,6
283,Hotel,Hotel Pánuco,2,6
284,Hotel,Hotel Tres Marías,1,6
285,Hotel,Hotel Plaza Solís,3,6
286,Hotel,Hotel Coloso,1,6
287,Hotel,Hotel Cadillac,2,6
288,Hotel,Hotel Turista Las Flores,3,4
289,Hotel,Hotel Ex-Hacienda Xaltocan,2,16
290,Hotel,Hotel Astoria,1,6
291,Hotel,Hotel Montreal,4,4
292,Hotel,Hotel Colins,4,9
293,Hotel,Hotel Vista Alegre,1,7
294,Hotel,Hotel Universal,1,6
295,Hotel,Hotel Esla,3,7
296,Hotel,Hotel Álamos,2,3
297,Hotel,Hotel Turismo,2,7
298,Hotel,Hotel Puente,3,15
299,Hotel,Hotel San Antonio,0,3
300,Hotel,Hotel Necaxa,0,15
301,Hotel,Hotel Mazatlán,2,6
302,Hotel,Hotel San Lorenzo,3,9
303,Hotel,Hotel Marqués,3,9
304,Hotel,Hotel Canceleira,4,9
305,Hotel,Hotel Montecarlo,2,6
306,Hotel,Hotel La Riviera,3,6
307,Hotel,Hotel Mexicali,3,6
308,Hotel,Hotel La Selva,1,6
309,Hotel,Hotel Jacarandas,3,6
310,Hotel,Hotel Riva Palacio,1,6
311,Hotel,Hotel Villa Hermosa,1,6
312,Hotel,Hotel Piet,0,6
313,Hotel,Hotel Río de Janeiro,0,6
314,Hotel,Hotel Del Parque,2,8
315,Hotel,Hotel Abastos Plaza,4,9
316,Hotel,Hotel Rossel Plaza,3,8
317,Hotel,Motel New,1,7
318,Hotel,Hotel Niza,0,6
319,Hotel,Motel Real La Viga,4,15
320,Hotel,Hotel Miño,1,6
321,Hotel,Hotel Ferrol,2,6
322,Hotel,Hotel Pisa,3,6
323,Hotel,Hotel Maga,2,6
324,Hotel,Hotel Marlyn,1,6
325,Hotel,Hotel Rosas Moreno,1,6
326,Hotel,Apartamentos Altamira,1,6
327,Hotel,Hotel Dalje,1,6
328,Hotel,Hotel Vista Alegre 1,2,6
329,Hotel,Hotel Embajadores,1,6
330,Hotel,Hotel Hidalgo,2,6
331,Hotel,Hotel Polo,2,6
