id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19211180,Linda habitación con baño privado en Coyoacán,28961716,Luis,,Coyoacán,19.3549,-99.15296,Private room,407,2,46,2019-10-23,1.67,3,131
19212637,Casa Petate Coyoacán,16551488,Mónica,,Coyoacán,19.35247,-99.16457,Entire home/apt,1491,2,8,2018-07-29,0.27,2,335
19213525,Habitación con baño privado compartiendo en depto.,45214396,Cinthya Ivonne,,Coyoacán,19.34828,-99.15264,Shared room,213,30,1,2017-10-18,0.04,1,180
19217175,Sofisticado y moderno loft en la Roma,128464250,Fer,,Cuauhtémoc,19.42534,-99.16139,Entire home/apt,755,3,6,2017-07-31,0.21,1,0
19221389,Be grand Pedregal luxury condoms,29642001,Jorge,,Álvaro Obregón,19.30781,-99.21153,Entire home/apt,2324,2,0,,,1,0
19222311,"Cozy apartment-art studio in La Juárez, CDMX",130123505,Eugenio,,Cuauhtémoc,19.42903,-99.15393,Private room,9084,1,0,,,1,0
19225762,Radiant Apartment with Terrace in Roma Norte (4/4),4821807,Alex,,Cuauhtémoc,19.42251,-99.15472,Entire home/apt,1007,3,103,2019-11-21,3.52,5,328
19227010,"Habitación en hermoso departamento, REFORMA-Ángel",132535773,Mary Carmen,,Cuauhtémoc,19.43075,-99.16878,Private room,581,1,22,2018-11-20,0.76,3,344
19227281,Habitación cerca de Santa Fe. Casa 12,69179415,Magu,,Cuajimalpa de Morelos,19.3727,-99.29034,Private room,600,3,0,,,1,363
19227444,"Cool full apt. in Juarez, 1 block from Roma Norte",35719716,Juan Carlos,,Cuauhtémoc,19.42552,-99.16051,Entire home/apt,1065,2,83,2019-11-05,2.82,2,145
19230305,Depto 3 Cuauhtémoc,29469053,Chili,,Cuauhtémoc,19.42087,-99.14931,Private room,1298,7,0,,,1,83
19244044,Stroll to Restaurants from a Beautiful Polanco Pad,23857843,Andres,,Miguel Hidalgo,19.43591,-99.19106,Entire home/apt,3215,2,94,2019-04-28,3.21,1,0
19246801,Habitación privada para 1 o 2 al sur de la Ciudad,134762957,Judith,,Coyoacán,19.30374,-99.10787,Private room,213,1,84,2019-11-03,2.86,1,177
