id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14714,Private room c/ bathroom . Colonia Juarez.,57785,Diego,,Cuauhtémoc,19.43035,-99.15511,Private room,483,2,0,,,1,364
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,Diego,,Cuauhtémoc,19.44076,-99.16324,Private room,1990,1,6,2017-02-17,0.06,9,337
33681,Couple of Rooms,145672,Edubiel,,Tlalpan,19.27215,-99.21848,Private room,1758,1,0,,,1,365
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38399,-99.27335,Entire home/apt,3863,1,0,,,2,363
44616,CONDESA HAUS BOUTIQUE B&B,196253,Fernando,,Cuauhtémoc,19.41006,-99.17645,Private room,1893,1,38,2019-02-16,0.42,5,349
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43937,-99.15614,Entire home/apt,715,4,56,2019-03-01,0.58,2,287
58955,Entire beautiful duplex in la Roma,282620,Nat,,Cuauhtémoc,19.42292,-99.15775,Entire home/apt,1642,3,37,2019-01-01,0.42,1,133
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41259,-99.17959,Private room,966,2,48,2019-03-02,2.88,3,171
67703,"2 bedroom apt. deco bldg, Condesa",334451,Nicholas,,Cuauhtémoc,19.41375,-99.17028,Entire home/apt,1835,2,39,2019-02-24,0.44,3,326
70644,Beautiful light Studio Coyoacan- full equipped !,212109,Trisha,,Coyoacán,19.35601,-99.16167,Entire home/apt,1062,3,90,2019-03-09,1.04,4,244
70737,Great studio Coyoacan!,212109,Trisha,,Coyoacán,19.35466,-99.16304,Entire home/apt,1140,3,31,2015-07-20,0.32,4,273
75615,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.36585,-99.27911,Private room,3863,1,0,,,2,88
84500,Beautiful house Downtown Coyoacán,457875,Vicente,,Coyoacán,19.34772,-99.16701,Entire home/apt,2897,5,0,,,1,227
98378,Seize our Holy Week / Easter $247usd/n promotion!,519159,Jorge & Monnah,,Miguel Hidalgo,19.40236,-99.18163,Entire home/apt,4617,2,123,2019-02-25,1.39,18,309
99972,Dreamy suite w/ king size bed in boutique B&B,87973,Diego,,Cuauhtémoc,19.44268,-99.16371,Private room,2782,1,0,,,9,322
107078,NEW  DESIGNER LOFT,540705,Andrea,,Miguel Hidalgo,19.4313,-99.19438,Entire home/apt,4153,4,6,2018-06-11,0.18,2,333
131610,MARIA DEL ALMA,647454,Fernando,,Coyoacán,19.35266,-99.16338,Private room,1584,1,0,,,3,43
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40675,-99.18798,Entire home/apt,1062,2,246,2019-02-27,2.65,4,218
171109,Cool room near WTC and Metrobus,816295,Carlos,,Benito Juárez,19.39549,-99.17616,Private room,290,4,56,2018-12-18,0.92,2,0
175504,"Casa Comtesse B&B, Gallery Hotel, 8 rooms",838896,Thomas Pierre,,Cuauhtémoc,19.40631,-99.17303,Private room,1410,1,51,2019-02-24,0.60,4,0
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,Roberto,,Cuauhtémoc,19.42428,-99.16843,Entire home/apt,1043,3,32,2019-03-10,0.38,1,363
187030,Two bedroom apartment in Condesa,899360,Julian,,Cuauhtémoc,19.41033,-99.17647,Entire home/apt,1642,4,83,2019-02-28,0.92,6,164
187745,Spacious one bedroom apt in Condesa,899360,Julian,,Cuauhtémoc,19.41086,-99.17704,Entire home/apt,1835,2,24,2018-01-03,0.37,6,59
194937,One bedroom apartment in Condesa -1,899360,Julian,,Cuauhtémoc,19.41113,-99.17762,Entire home/apt,1642,4,50,2019-01-31,0.56,6,360
198778,Smack in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.41395,-99.17948,Entire home/apt,927,2,158,2019-02-11,1.73,3,228
204887,"Condesa-Roma, great place to stay!",998053,MaryJo,,Miguel Hidalgo,19.40409,-99.17731,Entire home/apt,792,3,22,2018-11-02,0.27,1,362
217685,"in Condesa, one of the best zones.",184410,Veronica,,Cuauhtémoc,19.40454,-99.1715,Entire home/apt,966,6,2,2015-04-06,0.04,1,355
245507,TRENDY APARTMENT IN ZONA ROSA / JUAREZ DISTRICT,1288063,Francisco & Rodolfo,,Cuauhtémoc,19.4251,-99.17067,Entire home/apt,1333,1,237,2019-02-22,2.63,16,358
246057,HIP APARTMENT ONE BLOCK REFORMA,1288063,Francisco & Rodolfo,,Cuauhtémoc,19.42373,-99.1714,Entire home/apt,1449,1,222,2019-02-24,2.47,16,359
247543,"Independent studio, top location",1297488,Petra,,Cuauhtémoc,19.43417,-99.13744,Private room,579,3,79,2019-02-25,0.90,7,325
252618,"""Chavela"" Private & Furnished Room",1326107,Jacqueline,,Cuauhtémoc,19.41328,-99.15513,Private room,328,5,16,2017-09-30,0.18,3,2
255354,Tours in Mexico city,855066,Andrea,,Azcapotzalco,19.49886,-99.19172,Private room,637,1,1,2011-12-14,0.01,1,365
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,Francisco Carlos Y Maria Jose,,Miguel Hidalgo,19.40631,-99.18691,Entire home/apt,1062,2,232,2019-02-12,2.63,4,218
261897,Charming 1BR flat in Roma/Condesa,1373924,Eric,,Cuauhtémoc,19.41835,-99.17363,Entire home/apt,1198,2,313,2019-02-27,3.57,1,52
271048,Great location in Mexico City!,1417206,Ma. Carmen,,Miguel Hidalgo,19.42686,-99.17838,Entire home/apt,1738,5,13,2018-02-01,0.15,1,15
276504,High End Condo with golf package,1444589,Michael,,Iztacalco,19.38258,-99.12736,Entire home/apt,1932,7,0,,,1,365
281134,COOL PENT HOUSE APARTMENT @CONDESA,196253,Fernando,,Cuauhtémoc,19.41125,-99.17634,Entire home/apt,2743,1,5,2018-10-14,0.10,5,365
287015,SUPER DEAL MONTHLY STAYS / COMFORT / FAST WIFI!,1138171,Tony De Marco,,Cuauhtémoc,19.4128,-99.16387,Private room,4829,7,3,2012-07-24,0.03,3,364
287940,Furnished lovely cozy studio,1497087,Penelope,,Cuauhtémoc,19.41247,-99.17485,Entire home/apt,966,1,241,2019-02-26,3.54,10,330
291804,A nice room with great location,1511568,Luis Ernesto,,Benito Juárez,19.36294,-99.15415,Private room,579,2,0,,,1,365
298873,"The ""home"" feeling in Mexico City!",1539548,Paulina,,Cuauhtémoc,19.43327,-99.14527,Entire home/apt,1835,3,116,2019-02-04,1.38,1,281
323030,Comfy in the Middle of La Condesa,970609,Morgana & Omar,,Cuauhtémoc,19.4157,-99.17747,Entire home/apt,927,2,174,2018-08-15,2.05,3,257
324769,2Room new apartment in modern complex,1661848,David,,Miguel Hidalgo,19.45809,-99.19258,Entire home/apt,676,2,29,2019-03-07,0.41,1,345
325812,"Confortable private room, downtown Mexico City.",1666388,Angeles (Anjali),,Cuauhtémoc,19.43453,-99.14675,Private room,657,3,102,2019-02-23,1.65,2,354
326296,WONDERFUL ROOM IN COYOACAN HOUSE,1664327,Edoardo & Maria,,Coyoacán,19.34004,-99.18273,Private room,386,2,148,2019-01-19,2.01,2,259
326475,Room in contemporary chic apartment-LA ROMA,1670032,Isabel,,Cuauhtémoc,19.41297,-99.15735,Private room,657,1,56,2019-03-01,1.18,2,67
326865,"Tlalpan, Zona de Hospitales",1671446,Eugenia,,Tlalpan,19.28581,-99.16064,Private room,251,3,27,2019-03-08,0.57,4,320
326885,2 rooms in shared area.,1671446,Eugenia,,Tlalpan,19.28712,-99.16213,Private room,251,3,17,2018-10-19,0.23,4,360
329532,Stay at a meditation center,1681966,Ra Fa El -- Nahui Cuauhtli,,Cuauhtémoc,19.41007,-99.13434,Private room,386,22,0,,,3,358
329776,Habitación Verde.,1683373,Miguel,,Tlalpan,19.27428,-99.1781,Private room,386,2,13,2019-01-06,0.66,5,113
331788,"CONDESA COZY, COMFORTABLE APARTMENT",1691633,Sandro & Ines,,Cuauhtémoc,19.41942,-99.17373,Entire home/apt,1487,3,292,2019-03-11,3.42,1,326
341479,"modern,styled appt!",1732353,Karen,,Benito Juárez,19.37923,-99.18833,Entire home/apt,522,1,0,,,1,0
344439,habitación con baño Mexico city ,1747101,Gaby,,Venustiano Carranza,19.4346,-99.10929,Private room,1256,1,0,,,1,365
347754,Great Place to stay,1762542,Rosario,,Coyoacán,19.35179,-99.14956,Private room,773,1,0,,,1,365
350079,beautiful furnished room Rome area,1773936,Elizabeth,,Cuauhtémoc,19.40421,-99.16553,Private room,1062,5,0,,,1,365
357324,Recámara luminosa y jardín,1808252,Sara,,Miguel Hidalgo,19.40215,-99.24135,Private room,1932,1,0,,,1,365
